user_id,account_id,txn_id,event_time,event_type,amount,currency,channel,declared_income,account_deposit,residence_country,transaction_country,amount_in_1d,amount_out_1d,login_count_1h,failed_login_1h,new_ip_1d,geo_change_1d,device_id,ip_address,is_fraud,fraud_type
U-NORM-0141,ACC-0141,1,2026-01-01 00:15:04.766589,withdrawal,5255.17,jpy,api,206725,97018.0,sg,sg,5483.3,3044.65,2,1,0,0,DEV-0141-710,219.230.219.244,0,none
U-NORM-0007,ACC-0007,2,2026-01-01 00:17:33.633333,buy,5582.83,usd,mobile,304249,74022.0,sg,sg,6118.33,2536.71,4,0,0,0,DEV-0007-619,55.79.246.58,0,none
U-NORM-0038,ACC-0038,3,2026-01-01 00:23:23.081238,sell,3223.86,jpy,api,422499,148841.0,sg,sg,2202.06,3109.81,1,0,0,0,DEV-0038-157,87.21.207.31,0,none
U-NORM-0195,ACC-0195,4,2026-01-01 00:39:53.553974,buy,4815.15,sgd,web,55942,32225.0,jp,jp,4383.29,302.01,1,0,0,0,DEV-0195-494,164.175.145.168,0,none
U-NORM-0167,ACC-0167,5,2026-01-01 00:40:37.360200,buy,10992.51,jpy,web,157894,160317.0,gb,gb,10570.53,923.53,2,2,0,0,DEV-0167-714,194.92.25.160,0,none
U-NORM-0171,ACC-0171,6,2026-01-01 00:42:46.273320,deposit,15776.11,myr,web,460465,75723.0,sg,sg,26454.63,13920.31,0,0,0,0,DEV-0171-578,155.64.199.232,0,none
U-NORM-0027,ACC-0027,7,2026-01-01 00:44:32.463109,deposit,2726.65,myr,web,357500,149862.0,us,us,2928.88,2010.14,3,0,0,0,DEV-0027-676,124.124.173.247,0,none
U-NORM-0105,ACC-0105,8,2026-01-01 00:49:29.755317,deposit,3990.9,usd,api,257416,82332.0,au,au,3441.62,846.58,0,0,0,0,DEV-0105-587,187.49.121.205,0,none
U-NORM-0142,ACC-0142,9,2026-01-01 00:53:26.021490,buy,382.87,usd,web,134725,17648.0,my,my,117.65,378.99,0,0,0,0,DEV-0142-677,192.118.62.33,0,none
U-NORM-0184,ACC-0184,10,2026-01-01 01:06:59.704656,deposit,15725.8,usd,mobile,459470,146583.0,us,us,24865.21,13975.68,0,0,0,0,DEV-0184-897,36.156.46.35,0,none
U-NORM-0157,ACC-0157,11,2026-01-01 01:07:16.001578,buy,1782.96,jpy,api,139032,21938.0,sg,sg,3242.93,659.32,0,1,0,0,DEV-0157-127,104.209.245.10,0,none
U-NORM-0195,ACC-0195,12,2026-01-01 01:20:34.498974,buy,332.81,eur,mobile,55942,32225.0,jp,jp,92.33,100.09,3,1,0,0,DEV-0195-494,164.175.145.168,0,none
U-NORM-0026,ACC-0026,13,2026-01-01 01:22:52.414776,deposit,796.69,usd,api,86799,22558.0,vn,vn,997.2,43.43,0,0,0,0,DEV-0026-143,172.105.184.100,0,none
U-NORM-0001,ACC-0001,14,2026-01-01 01:26:10.069608,withdrawal,4344.26,eur,api,45795,5860.0,my,my,6273.11,4077.32,2,2,0,0,DEV-0001-328,36.52.44.152,0,none
U-NORM-0119,ACC-0119,15,2026-01-01 01:26:11.265915,buy,2137.1,jpy,api,401594,124215.0,gb,gb,3995.43,1242.39,1,0,0,0,DEV-0119-438,204.232.205.151,0,none
U-NORM-0001,ACC-0001,16,2026-01-01 01:27:17.381190,sell,4961.84,eur,mobile,45795,5860.0,my,my,228.86,2603.85,2,0,0,0,DEV-0001-328,36.52.44.152,0,none
U-NORM-0100,ACC-0100,17,2026-01-01 01:40:08.094003,withdrawal,4894.2,jpy,web,455368,63277.0,sg,sg,3613.25,2441.78,4,0,0,0,DEV-0100-512,202.117.188.88,0,none
U-NORM-0032,ACC-0032,18,2026-01-01 01:52:29.230814,buy,3549.85,sgd,mobile,207124,187682.0,sg,sg,1817.67,2310.34,3,0,0,0,DEV-0032-560,121.11.169.54,0,none
U-NORM-0098,ACC-0098,19,2026-01-01 01:53:48.271999,deposit,2730.36,jpy,web,145788,30391.0,cn,cn,979.83,558.59,4,0,0,0,DEV-0098-537,179.178.182.193,0,none
U-NORM-0098,ACC-0098,20,2026-01-01 02:11:09.479445,buy,1816.58,eur,web,145788,30391.0,cn,cn,1168.02,1141.19,0,0,0,0,DEV-0098-537,179.178.182.193,0,none
U-NORM-0198,ACC-0198,21,2026-01-01 02:15:23.532816,sell,8338.37,sgd,web,448596,95351.0,au,au,16590.09,3958.27,2,0,0,0,DEV-0198-398,11.187.47.231,0,none
U-NORM-0047,ACC-0047,22,2026-01-01 02:19:07.812952,withdrawal,1279.3,sgd,web,77774,14034.0,jp,jp,495.03,1141.17,4,0,0,0,DEV-0047-446,81.205.84.112,0,none
U-NORM-0167,ACC-0167,23,2026-01-01 02:40:28.224326,deposit,16798.55,eur,mobile,157894,160317.0,gb,gb,4560.31,10839.16,2,0,0,0,DEV-0167-714,194.92.25.160,0,none
